0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	3	3	4	5	1	1	1	1	1	1	1	1	1	2	0	0	0	0
6	6	7	3	4	8	3	3	3	3	3	3	3	3	3	4	0	0	0	0
0	0	8	3	4	8	3	9	6	6	6	6	6	7	3	10	1	1	2	0
0	0	8	3	10	11	3	4	0	0	0	0	0	8	3	3	3	3	4	0
0	0	8	3	3	3	3	4	0	0	0	0	0	8	3	9	7	3	4	0
0	0	12	6	6	7	3	10	1	1	1	1	1	11	3	4	8	3	4	0
0	0	0	0	0	8	3	3	3	3	3	3	3	3	3	4	8	3	4	0
0	0	0	0	0	12	6	6	6	6	6	6	6	6	6	13	8	3	4	0
0	0	0	0	0	0	0	0	5	1	1	1	1	1	2	0	8	3	4	0
0	0	0	0	0	0	0	0	8	3	3	3	3	3	4	5	11	3	4	0
0	0	0	0	0	0	0	0	8	3	9	6	7	3	10	11	3	3	4	0
0	0	0	0	0	0	0	0	8	3	4	0	8	3	3	3	3	9	13	0
0	0	0	0	0	0	0	0	8	3	4	0	12	6	6	6	6	13	0	0
0	0	0	0	0	0	0	0	8	3	4	0	0	0	0	0	0	0	0	0
